letter,station,leg.dist,total.dist,type,crew,drop,pacer,close,clock.time,goal.clock,goal.gun
A,High Bridge Glens,0,0,None,NA,NA,NA,1899-12-31T07:00:00Z,7:00,4:00:00,0:00
B,Memorial,5.5,5.5,Fluids,NA,NA,NA,1899-12-31T08:12:00Z,8:12,5:31:34,1:32
C,North Hawkins,4.5,10,Full,YES,NA,NA,1899-12-31T09:23:00Z,9:23,6:46:30,2:47
D,Mingo Shelter,3.7,13.7,Full,NA,NA,NA,1899-12-31T10:22:00Z,10:22,7:48:06,3:48
E,Botzum,1.7,15.4,Full,YES,NA,NA,1899-12-31T10:50:00Z,10:50,8:16:24,4:16
F,Indigo Lake,4.7,20.1,Fluids,NA,NA,NA,1899-12-31T11:19:00Z,11:19,9:34:40,5:35
G,Oakhill,3.7,23.8,Full,YES,YES,NA,1899-12-31T13:02:00Z,13:02,10:36:16,6:36
H,Valley Picnic,3.7,27.5,Full,NA,NA,NA,1899-12-31T14:06:00Z,14:06,11:37:52,7:38
I,Robinson Field,3.6,31.1,Fluids,NA,NA,NA,1899-12-31T15:08:00Z,15:08,12:37:49,8:38
J,Pine Hollow,4,35.1,Full,YES,YES,NA,1899-12-31T16:12:00Z,16:12,13:44:25,9:44
K,Kendall Lake,5.8,40.9,Full,NA,NA,NA,1899-12-31T17:46:00Z,17:46,15:20:59,11:21
L,Old Rt. 8 (Tiki),4.1,45,Full,NA,NA,NA,1899-12-31T19:04:00Z,19:04,16:29:15,12:29
M,Silver Springs,5.5,50.5,Full,YES,YES,YES,1899-12-31T21:00:00Z,21:00,18:00:49,14:01
L,Old Rt. 8 (Tiki),5.4,55.9,Full,NA,NA,NA,1899-12-31T21:55:00Z,21:55,19:30:44,15:31
K,Kendall Lake Shelter,4.1,60,Full,NA,NA,NA,1899-12-31T23:13:00Z,23:13,20:39:00,16:39
J,Pine Hollow,5.8,65.8,Full,YES,YES,YES,1899-12-31T00:47:00Z,0:47,22:15:34,18:16
I,Robinson Field,4,69.8,Full,NA,NA,NA,1899-12-31T01:51:00Z,1:51,23:22:10,19:22
H,Valley Picnic,3.6,73.4,Full,NA,NA,NA,1899-12-31T02:53:00Z,2:53,0:22:07,20:22
G,Oakhill,3.7,77.1,Full,YES,YES,YES,1899-12-31T03:57:00Z,3:57,1:23:43,21:24
F,Indigo Lake,3.7,80.8,Fluids,NA,NA,NA,1899-12-31T05:40:00Z,5:40,2:25:19,22:25
E,Botzum,4.7,85.5,Full,YES,NA,YES,1899-12-31T06:09:00Z,6:09,3:43:35,23:44
D,Mingo Shelter,1.7,87.2,Full,NA,NA,NA,1899-12-31T06:37:00Z,6:37,4:11:53,24:12:00
C,North Hawkins,3.7,90.9,Full,YES,NA,YES,1899-12-31T07:36:00Z,7:36,5:13:29,25:13:00
B,Memorial,4.5,95.4,Full,YES,NA,YES,1899-12-31T08:47:00Z,8:47,6:28:25,26:28:00
A,High Bridge Glens,5.5,100.9,Full,YES,NA,NA,1899-12-31T10:00:00Z,10:00,8:00:00,28:00:00
