letter,station,leg.dist,total.dist,type,crew,drop,pacer,close,clock.time,goal.clock,goal.gun
A,High Bridge Glens,0,0,None,NA,NA,NA,1899-12-31T07:00:00Z,07:00,04:00:00,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
B,Memorial,5.5,5.5,Fluids,NA,NA,NA,1899-12-31T08:12:00Z,08:12,05:31:34,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
C,North Hawkins,4.5,10,Full,YES,NA,NA,1899-12-31T09:23:00Z,09:23,06:46:30,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
D,Mingo Shelter,3.7,13.7,Full,NA,NA,NA,1899-12-31T10:22:00Z,10:22,07:48:06,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
E,Botzum,1.7,15.399999999999999,Full,YES,NA,NA,1899-12-31T10:50:00Z,10:50,08:16:24,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
F,Indigo Lake,4.7,20.099999999999998,Fluids,NA,NA,NA,1899-12-31T11:19:00Z,11:19,09:34:40,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
G,Oakhill,3.7,23.799999999999997,Full,YES,YES,NA,1899-12-31T13:02:00Z,13:02,10:36:16,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
H,Valley Picnic,3.7,27.499999999999996,Full,NA,NA,NA,1899-12-31T14:06:00Z,14:06,11:37:52,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
I,Robinson Field,3.6,31.099999999999998,Fluids,NA,NA,NA,1899-12-31T15:08:00Z,15:08,12:37:49,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
J,Pine Hollow,4,35.099999999999994,Full,YES,YES,NA,1899-12-31T16:12:00Z,16:12,13:44:25,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
K,Kendall Lake,5.8,40.89999999999999,Full,NA,NA,NA,1899-12-31T17:46:00Z,17:46,15:20:59,"c(""0:00"", ""1:32"", ""2:47"", ""3:48"", ""4:16"", ""5:35"", ""6:36"", ""7:38"", ""8:38"", ""9:44"", ""11:21"", ""12:29"", ""14:01"", ""15:31"", ""16:39"", ""18:16"", ""19:22"", ""20:22"", ""21:24"", ""22:25"", ""23:44"", ""24:12"", ""25:13"", ""26:28"", ""27:60"")"
