Caltopo Map,,https://caltopo.com/m/AJJB201,,,
,,,,,
Aid.Num,Location,Dist.from.Start,Dist.from.Last.Aid,Support,Cut.off.time
0,Camp Morganton,0,0,,
1,Deep Gap,2.7,2.7,,
2,Deep Gap (bib),8.5,5.8,,15:40
3,Stanley Gap,13.2,4.7,,17:45
4,Old Dial Rd,19.1,5.9,C,20:15
5,Wilscot Gap,24.6,5.5,"C, DB",23:00
6,Skeenah Gap,29.5,4.9,,0:45
7,Fish Gap,34.4,4.9,,2:55
8,Fire Pit,41.7,7.3,,6:00
9,Wolf Creek,46.4,4.7,"C, DB",
10,Poor Decisions (bib),49.1,2.7,,
11,Wolf Creek,51.8,2.7,"C, DB, P",10:50
12,Fire Pit,56.5,4.7,,13:00
13,Fish Gap,63.8,7.3,,16:25
14,Skeenah Gap,68.7,4.9,,18:45
15,Wilscot Gap,73.6,4.9,"C, DB, P",21:00
16,Old Dial Rd,79.1,5.5,"C, P",23:45
17,Stanley Gap,85,5.9,,2:40
18,Weaver Creek Rd,90.4,5.4,,5:20
19,Deep Gap,95.4,5,,7:50
20,Deep Gap (bib),101.2,5.8,,10:40
21,Camp Morganton,103.9,2.7,,12:00
