Aid.Num,Location,Dist.from.Start,Dist.from.Last.Aid,Support,Cut.off.time,Clock.Time,Elapsed.Time
0,Camp Morganton,0,0,NA,NA,12:00:00,0S
1,Deep Gap,2.7,2.7,NA,NA,12:56:07,56M 8S
2,Deep Gap (bib),8.5,5.8,NA,15:40:00,14:56:42,2H 56M 43S
3,Stanley Gap,13.2,4.7,NA,17:45:00,16:34:25,4H 34M 25S
4,Old Dial Rd,19.1,5.9,C,20:15:00,18:37:04,6H 37M 4S
5,Wilscot Gap,24.6,5.5,"C, DB",23:00:00,20:31:24,8H 31M 25S
6,Skeenah Gap,29.5,4.9,NA,00:45:00,22:13:16,10H 13M 17S
7,Fish Gap,34.4,4.9,NA,02:55:00,23:55:08,11H 55M 9S
8,Fire Pit,41.7,7.3,NA,06:00:00,02:26:54,14H 26M 55S
9,Wolf Creek,46.4,4.7,"C, DB",NA,04:04:37,16H 4M 37S
10,Poor Decisions (bib),49.1,2.7,NA,NA,05:00:45,17H 0M 45S
11,Wolf Creek,51.8,2.7,"C, DB, P",10:50:00,05:56:52,17H 56M 53S
12,Fire Pit,56.5,4.7,NA,13:00:00,07:34:35,19H 34M 35S
13,Fish Gap,63.8,7.3,NA,16:25:00,10:06:21,22H 6M 21S
14,Skeenah Gap,68.7,4.9,NA,18:45:00,11:48:13,23H 48M 13S
15,Wilscot Gap,73.6,4.9,"C, DB, P",21:00:00,13:30:05,1d 1H 30M 5S
16,Old Dial Rd,79.1,5.5,"C, P",23:45:00,15:24:25,1d 3H 24M 26S
17,Stanley Gap,85,5.9,NA,02:40:00,17:27:05,1d 5H 27M 5S
18,Weaver Creek Rd,90.4,5.4,NA,05:20:00,19:19:20,1d 7H 19M 21S
19,Deep Gap,95.4,5,NA,07:50:00,21:03:17,1d 9H 3M 17S
20,Deep Gap (bib),101.2,5.8,NA,10:40:00,23:03:52,1d 11H 3M 52S
21,Camp Morganton,103.9,2.7,NA,12:00:00,00:00:00,1d 12H 0M 0S
