Mohican 100 Mile Trail Run,,,,,,,,,,
,,,,,,,,,,
Sequence,Aid Station,Section Distance,Total Distance,Crew Access,Drop Bag,Aid Station Open/Close,"Section
Ascent (ft)","Section
Descent (ft)",Section Elevetion Change (ft),"Total
Ascent (ft)"
Start,Mohican Adventures Pavillion,-,-,Yes,-,5:00 AM,,,,
1A,Gorge Overlook,5.9,5.9,Yes,No,5:45 AM,1047,725,322,1047
2B,Fire Tower,4.3,10.2,Yes,No,6:25 AM,604,496,108,1651
3C,Covered Bridge,6.4,16.6,No,Yes,7:20 AM,806,1151,-345,2457
4D,Hickory Ridge,5.6,22.1,No,No,8:00 AM,1001,698,303,3458
5E,Mohican Adventures Aid,5.0,27.1,Yes,Yes,8:45 AM,400,739,-339,3858
6A,Gorge Overlook,5.8,32.9,Yes,No,,1047,725,322,4905
7B,Fire Tower,4.3,37.2,Yes,No,,604,496,108,5509
8C,Covered Bridge,6.0,43.1,No,Yes,,806,1151,-345,6315
9D,Hickory Ridge,5.6,48.7,No,No,,1001,698,303,7316
10E,Mohican Adventures Aid,5.0,53.6,Yes,Yes,,400,739,-339,7716
11A,Gorge Overlook,5.8,59.4,Yes,No,,1047,725,322,8763
12B,Fire Tower,4.3,63.7,Yes,No,,604,496,108,9367
13C,Covered Bridge,2.6,66.3,No,Yes,,149,493,-344,9516
14D,Hickory Ridge,5.6,71.9,No,No,,1001,698,303,10517
15E,Mohican Adventures Aid,5.0,76.8,Yes,Yes,5:36 AM,400,739,-339,10917
16A,Gorge Overlook,5.8,82.6,Yes,No,7:26 AM,1047,725,322,11964
17B,Fire Tower,4.3,86.9,Yes,No,8:48 AM,604,496,108,12568
18C,Covered Bridge,2.6,89.5,No,Yes,9:38 AM,149,493,-344,12717
19D,Hickory Ridge,5.6,95.1,No,No,11:25 AM,1001,698,303,13718
Finish,Mohican Adventures Pavillion,5.1,100.2,Yes,-,1:00 PM,400,739,-339,14118
,,,,,,,,,,
,,,,,,,,,,
Additional Crew Access Points,,,,,,,,,,
Lap 1,MTB Parking #2 - Mile 10.7,,,,,,,,,
Lap 1,Pleasant Hill Dam - Mile 15.6,,,,,,,,,
Lap 2,MTB Parking #2 - Mile 37.6,,,,,,,,,
Lap 2,Pleasant Hill Dam - Mile 42.5,,,,,,,,,
,,,,,,,,,,
There is NO PARKING at Fire Tower. Crew must park at the correction facility or at the MTB Trailhead #2. Both are a short walk from the aid station (1/4 mile and 1/2 mile respectively).,,,,,,,,,,
,,,,,,,,,,
"Pacers are allowed on laps 3 and 4, beginning at mile 53.6. Pacers may not join runners at Covered Bridge or Hickory Ridge. It is very important that pacers check in at race headquarters before heading on course to join their runner. If a pacer is joining their runner at an aid station other than Mohican Adventures, they cannot leave a car at the aid station, they must coordinate a ride to the aid station they are joining their runner at.",,,,,,,,,,
,,,,,,,,,,
Elevation measured with a Garmin device equipped with an altimeter.,,,,,,,,,,
